bun,suite,fixture,metric,samples,median_abs_pair_pct,p90_abs_pair_pct,envelope_pct,noisy
1.4.2,router,10/static-shallow,nsPerOp,5,5.205513664201355,8.392097673261233,8.392097673261233,False
1.4.2,router,10/static-deep,nsPerOp,5,4.8600957250563015,12.756448667416054,12.756448667416054,False
1.4.2,router,10/param,nsPerOp,5,12.781829676441546,20.163540271566994,20.163540271566994,True
1.4.2,router,10/param-encoded,nsPerOp,5,3.15931104105609,22.851640208165257,22.851640208165257,True
1.4.2,router,10/wildcard,nsPerOp,5,9.693720065677036,24.6165042328498,24.6165042328498,True
1.4.2,router,10/miss,nsPerOp,5,10.03813418015962,49.978091799957646,49.978091799957646,True
1.4.2,router,10/method-miss,nsPerOp,5,6.603299376949878,22.623376190384636,22.623376190384636,True
1.4.2,router,10/registration,nsPerOp,5,19.32119613342007,85.69412287973444,85.69412287973444,True
1.4.2,router,100/static-shallow,nsPerOp,5,8.956282318240238,16.183298544333425,16.183298544333425,False
1.4.2,router,100/static-deep,nsPerOp,5,3.7170532606599638,10.307155647808008,10.307155647808008,False
1.4.2,router,100/param,nsPerOp,5,7.026865588284359,9.292945206350268,9.292945206350268,False
1.4.2,router,100/param-encoded,nsPerOp,5,4.857315628100379,18.689140667610094,18.689140667610094,False
1.4.2,router,100/wildcard,nsPerOp,5,10.059579801565954,19.311222043170574,19.311222043170574,False
1.4.2,router,100/miss,nsPerOp,5,11.517335726848078,16.168070940968615,16.168070940968615,False
1.4.2,router,100/method-miss,nsPerOp,5,4.678511134054664,31.198371519156552,31.198371519156552,True
1.4.2,router,100/registration,nsPerOp,5,27.272861175570885,39.30563257151343,39.30563257151343,True
1.4.2,router,1000/static-shallow,nsPerOp,5,7.1410074876582685,15.503122914285882,15.503122914285882,False
1.4.2,router,1000/static-deep,nsPerOp,5,3.3090533489467333,18.08121503204001,18.08121503204001,False
1.4.2,router,1000/param,nsPerOp,5,4.69404149194268,10.042741565491175,10.042741565491175,False
1.4.2,router,1000/param-encoded,nsPerOp,5,5.440176387366613,8.123875689217975,8.123875689217975,False
1.4.2,router,1000/wildcard,nsPerOp,5,6.554658897224719,15.78850479979721,15.78850479979721,False
1.4.2,router,1000/miss,nsPerOp,5,15.783531093807547,26.53502303599953,26.53502303599953,True
1.4.2,router,1000/method-miss,nsPerOp,5,10.617727142375777,26.06598330000911,26.06598330000911,True
1.4.2,router,1000/registration,nsPerOp,5,7.852349778528178,29.30945801467909,29.30945801467909,True
1.4.2,request,constructor-supplied-url,nsPerOp,5,10.725911179600622,32.145696018254434,32.145696018254434,True
1.4.2,request,constructor-parse-url,nsPerOp,5,13.383164709131346,31.018339899915027,31.018339899915027,True
1.4.2,request,metadata,nsPerOp,5,3.6321386856618565,46.483547263794755,46.483547263794755,True
1.4.2,request,body-json,nsPerOp,5,8.457270741693934,41.9351648518776,41.9351648518776,True
1.4.2,request,body-shared,nsPerOp,5,14.545382847262056,37.319111918874846,37.319111918874846,True
1.4.2,di,value,nsPerOp,5,26.148332405850063,45.21692573215965,45.21692573215965,True
1.4.2,di,singleton-class-warm,nsPerOp,5,14.581255334495824,31.498949866346226,31.498949866346226,True
1.4.2,di,singleton-factory-warm,nsPerOp,5,5.865239141735601,23.256930093383765,23.256930093383765,True
1.4.2,di,request-warm,nsPerOp,5,4.6737364638190115,21.68710274185255,21.68710274185255,True
1.4.2,di,session-warm,nsPerOp,5,17.48239759271264,26.352107823838743,26.352107823838743,True
1.4.2,di,class-cold-bind-resolve,nsPerOp,5,17.16221486540497,20.482093435740435,20.482093435740435,True
1.4.2,di,factory-cold-bind-resolve,nsPerOp,5,35.4814718007201,35.58880422046043,35.58880422046043,True
1.4.2,di,transient-class,nsPerOp,5,1.132061880321178,27.14343010530238,27.14343010530238,True
1.4.2,di,transient-chain-3,nsPerOp,5,5.934274923966775,14.263947753614858,14.263947753614858,False
1.4.2,dispatch,static,nsPerOp,5,13.79290302291858,38.843394616331615,38.843394616331615,True
1.4.2,dispatch,middleware,nsPerOp,5,2.0430013413603842,35.107528804960154,35.107528804960154,True
1.4.2,dispatch,async,nsPerOp,5,12.904112102219202,50.681781907660465,50.681781907660465,True
1.4.2,dispatch,query,nsPerOp,5,8.65613670369827,70.93651150338327,70.93651150338327,True
1.4.2,dispatch,metadata,nsPerOp,5,3.9198467219254574,73.10809720769069,73.10809720769069,True
1.4.2,dispatch,class-warm,nsPerOp,5,27.998727665996448,68.04216279008996,68.04216279008996,True
1.4.2,dispatch,factory-warm,nsPerOp,5,29.062059902691583,68.49092051253545,68.49092051253545,True
